연번,읍면,경로당명,경로당 주소,데이터기준일
1,옥천읍,죽향1,충청북도 옥천군 옥천읍 향수2길 46-11,2022-06-15
2,옥천읍,죽향2,"충청북도 옥천군 옥천읍 성왕로 1274, 옥향@",2022-06-15
3,옥천읍,죽향3,"충청북도 옥천군 옥천읍 성왕로 1262, 향수마을@ 101",2022-06-15
4,옥천읍,문정1,충청북도 옥천군 옥천읍 향수2길 9,2022-06-15
5,옥천읍,문정2,충청북도 옥천군 옥천읍 문정2길 13-15,2022-06-15
6,옥천읍,하늘빛,"충청북도 옥천군 옥천읍 동부로 16, 하늘빛@ 105",2022-06-15
7,옥천읍,문정4,"충청북도 옥천군 옥천읍 관성로1길 18, 진달래@",2022-06-15
8,옥천읍,문정5,"충청북도 옥천군 옥천읍 문장로2길 9, 문정@2단지",2022-06-15
9,옥천읍,문정6,"충청북도 옥천군 옥천읍 문장로2길 10, 문정@3단지",2022-06-15
10,옥천읍,읍내,충청북도 옥천군 옥천읍 향수3길 30 ,2022-06-15
11,옥천읍,상계,충청북도 옥천군 옥천읍 향수4길 19 ,2022-06-15
12,옥천읍,하계,충청북도 옥천군 옥천읍 향수4길 7-23,2022-06-15
13,옥천읍,교동,충청북도 옥천군 옥천읍 향수길 111,2022-06-15
14,옥천읍,동안,충청북도 옥천군 옥천읍 동안2길11-1 ,2022-06-15
15,옥천읍,화계,충청북도 옥천군 옥천읍 수북길 11-2,2022-06-15
16,옥천읍,동정,충청북도 옥천군 옥천읍 수북1길 9-1,2022-06-15
17,옥천읍,오대,충청북도 옥천군 옥천읍 오대1길 39-1,2022-06-15
18,옥천읍,매화,충청북도 옥천군 옥천읍 매화길 26,2022-06-15
19,옥천읍,귀화,충청북도 옥천군 옥천읍 서대구일로5길 34-6,2022-06-15
20,옥천읍,귀화여자,충청북도 옥천군 옥천읍 서대구일로5길 27-7,2022-06-15
21,옥천읍,귀죽,충청북도 옥천군 옥천읍 서대구일로4길 37,2022-06-15
22,옥천읍,귀현,충청북도 옥천군 옥천읍 서대구일로3길 37,2022-06-15
23,옥천읍,서대1(송대),충청북도 옥천군 옥천읍 송신길 90,2022-06-15
24,옥천읍,서대1(신대),충청북도 옥천군 옥천읍 송신1길 6,2022-06-15
25,옥천읍,서대2,충청북도 옥천군 옥천읍 서대구일로 65,2022-06-15
26,옥천읍,가풍,충청북도 옥천군 옥천읍 청풍로 172 ,2022-06-15
27,옥천읍,원각,충청북도 옥천군 옥천읍 원각1길 5-2 ,2022-06-15
28,옥천읍,상삼,충청북도 옥천군 옥천읍 삼청2길 283-1,2022-06-15
