연번,읍면,경로당명,경로당 주소,Latitude,Longitude,데이터기준일
1,옥천읍,죽향1,충청북도 옥천군 옥천읍 향수2길 46-11,36.3168405,127.5813094,2022-06-15
2,옥천읍,죽향2,"충청북도 옥천군 옥천읍 성왕로 1274, 옥향@",36.3170565,127.5784443,2022-06-15
3,옥천읍,죽향3,"충청북도 옥천군 옥천읍 성왕로 1262, 향수마을@ 101",36.3160548,127.5780647,2022-06-15
4,옥천읍,문정1,충청북도 옥천군 옥천읍 향수2길 9,36.3137218,127.579357,2022-06-15
5,옥천읍,문정2,충청북도 옥천군 옥천읍 문정2길 13-15,36.305198,127.5732879,2022-06-15
6,옥천읍,하늘빛,"충청북도 옥천군 옥천읍 동부로 16, 하늘빛@ 105",36.3052973,127.5746277,2022-06-15
7,옥천읍,문정4,"충청북도 옥천군 옥천읍 관성로1길 18, 진달래@",36.3036623,127.5732688,2022-06-15
8,옥천읍,문정5,"충청북도 옥천군 옥천읍 문장로2길 9, 문정@2단지",36.302997,127.5770404,2022-06-15
9,옥천읍,문정6,"충청북도 옥천군 옥천읍 문장로2길 10, 문정@3단지",36.3018523,127.5769967,2022-06-15
10,옥천읍,읍내,충청북도 옥천군 옥천읍 향수3길 30,36.3152669,127.5807536,2022-06-15
11,옥천읍,상계,충청북도 옥천군 옥천읍 향수4길 19,36.3153742,127.5810836,2022-06-15
12,옥천읍,하계,충청북도 옥천군 옥천읍 향수4길 7-23,36.3139423,127.5810402,2022-06-15
13,옥천읍,교동,충청북도 옥천군 옥천읍 향수길 111,36.3177502,127.5867856,2022-06-15
14,옥천읍,동안,충청북도 옥천군 옥천읍 동안2길11-1,36.3113639,127.5905733,2022-06-15
15,옥천읍,화계,충청북도 옥천군 옥천읍 수북길 11-2,36.3177391,127.6075483,2022-06-15
16,옥천읍,동정,충청북도 옥천군 옥천읍 수북1길 9-1,36.3161687,127.608251,2022-06-15
17,옥천읍,오대,충청북도 옥천군 옥천읍 오대1길 39-1,36.3314206,127.6140801,2022-06-15
18,옥천읍,매화,충청북도 옥천군 옥천읍 매화길 26,36.3042132,127.5958824,2022-06-15
19,옥천읍,귀화,충청북도 옥천군 옥천읍 서대구일로5길 34-6,36.2911089,127.5957337,2022-06-15
20,옥천읍,귀화여자,충청북도 옥천군 옥천읍 서대구일로5길 27-7,36.2902568,127.595822,2022-06-15
21,옥천읍,귀죽,충청북도 옥천군 옥천읍 서대구일로4길 37,36.2866968,127.5987226,2022-06-15
22,옥천읍,귀현,충청북도 옥천군 옥천읍 서대구일로3길 37,36.282122,127.5965497,2022-06-15
23,옥천읍,서대1(송대),충청북도 옥천군 옥천읍 송신길 90,36.2854731,127.5821497,2022-06-15
24,옥천읍,서대1(신대),충청북도 옥천군 옥천읍 송신1길 6,36.2822751,127.5813977,2022-06-15
25,옥천읍,서대2,충청북도 옥천군 옥천읍 서대구일로 65,36.2799722,127.586674,2022-06-15
26,옥천읍,가풍,충청북도 옥천군 옥천읍 청풍로 172,36.2591158,127.5845836,2022-06-15
27,옥천읍,원각,충청북도 옥천군 옥천읍 원각1길 5-2,36.2695718,127.5910591,2022-06-15
28,옥천읍,상삼,충청북도 옥천군 옥천읍 삼청2길 283-1,36.2638296,127.5733373,2022-06-15
29,옥천읍,중삼,충청북도 옥천군 옥천읍 삼청2길 240,36.2660777,127.5758964,2022-06-15
30,옥천읍,중삼여자,충청북도 옥천군 옥천읍 삼청2길 246-4,36.2656974,127.5759075,2022-06-15
31,옥천읍,태장동,충청북도 옥천군 옥천읍 청풍로 367-64,36.2681113,127.5744509,2022-06-15
32,옥천읍,하삼,충청북도 옥천군 옥천읍 삼청2길 173,36.2715257,127.5771958,2022-06-15
33,옥천읍,소정,충청북도 옥천군 옥천읍 삼청1길 113,36.2764031,127.5713711,2022-06-15
34,옥천읍,중마루,충청북도 옥천군 옥천읍 삼청1길 185-1,36.2744632,127.5659103,2022-06-15
35,옥천읍,대천1,충청북도 옥천군 옥천읍 대천길 68,36.2877117,127.563233,2022-06-15
36,옥천읍,대천2,충청북도 옥천군 옥천읍 대천길 130,36.2826312,127.561111,2022-06-15
37,옥천읍,응천,충청북도 옥천군 옥천읍 응천길14-4,36.2877928,127.5721082,2022-06-15
38,옥천읍,마암,충청북도 옥천군 옥천읍 마암로2길 23,36.2929174,127.5644404,2022-06-15
39,옥천읍,마항,충청북도 옥천군 옥천읍 마암로3길 66,36.2895763,127.5595528,2022-06-15
40,옥천읍,마항망기미,충청북도 옥천군 옥천읍 마암로3길 127-29,36.2845289,127.5542795,2022-06-15
41,옥천읍,성암1,"충청북도 옥천군 옥천읍 성신로 29-8, 현대연립 가-113",36.2953508,127.5689922,2022-06-15
42,옥천읍,성암2,충청북도 옥천군 옥천읍 성암3길 12-7,36.2939318,127.5713308,2022-06-15
43,옥천읍,성암3,"충청북도 옥천군 옥천읍 성암1길 30, 현대@",36.2957679,127.5705549,2022-06-15
44,옥천읍,성암4양우,"충청북도 옥천군 옥천읍 마장로 20, 양우내안애@",36.2922079,127.5709261,2022-06-15
45,옥천읍,양수1,충청북도 옥천군 옥천읍 양수로5길 6,36.2967861,127.5548576,2022-06-15
46,옥천읍,양수1여자,충청북도 옥천군 옥천읍 양수로5길 6,36.2967861,127.5548576,2022-06-15
