번호,용도,단지명,소재지,법정동,동수,층수,세대수,데이터기준일
1,연립주택,"한신연립 A, B동",충청북도 옥천군 옥천읍 성암1길 14-1 ,옥천읍,2,3,24,2022-09-16
2,다세대주택,"은혜연립주택 A, B동",충청북도 옥천군 옥천읍 성신로 27 ,옥천읍,2,3,24,2022-09-16
3,연립주택,"성옥연립 A, B동",충청북도 옥천군 옥천읍 성신로21-10 ,옥천읍,2,3,24,2022-09-16
4,연립주택,"남부연립 A, B동",충청북도 옥천군 옥천읍 삼양로 46 ,옥천읍,2,3,30,2022-09-16
5,연립주택,"양지주택 가, 나동",충청북도 옥천군 옥천읍 신기5길 9-12 ,옥천읍,2,3,30,2022-09-16
6,연립주택,"세원연립 가, 나, 다동",충청북도 옥천군 옥천읍 금장로 13 ,옥천읍,3,3,48,2022-09-16
7,연립주택,"현대연립 가, 나동",충청북도 옥천군 옥천읍 신성로 29-8 ,옥천읍,2,3,45,2022-09-16
8,연립주택,"대청연립 다, 라동",충청북도 옥천군 옥천읍 성신로 29-8 ,옥천읍,2,3,42,2022-09-16
9,연립주택,푸른연립,충청북도 옥천군 옥천읍 관성로3길 10-1 ,옥천읍,1,3,18,2022-09-16
10,다세대주택,"세원주택 가, 나, 다동",충청북도 옥천군 옥천읍 금장로 13 ,옥천읍,3,3,48,2022-09-16
11,다세대주택,남부연립주택,충청북도 옥천군 옥천읍 삼양로 48 ,옥천읍,1,3,6,2022-09-16
12,아파트,강남연립,충청북도 옥천군 옥천읍 대학3길 7 ,옥천읍,1,5,29,2022-09-16
13,연립주택,"서일연립 가, 나동",충청북도 옥천군 옥천읍 금구천길 15 ,옥천읍,2,3,36,2022-09-16
14,다세대주택,온성주택,충청북도 옥천군 옥천읍 금장로 103 ,옥천읍,1,2,4,2022-09-16
15,아파트,경동아파트,충청북도 옥천군 옥천읍 성암2길 14 ,옥천읍,3,5,90,2022-09-16
16,아파트,구룡아파트,충청북도 옥천군 옥천읍 중앙로4길 14 ,옥천읍,1,5,10,2022-09-16
17,연립주택,금강연립,충청북도 옥천군 이원면 묘목로 100-1 ,이원면,1,3,24,2022-09-16
18,다세대주택,가화빌라 103동,충청북도 옥천군 옥천읍 가화3길 15 ,옥천읍,1,3,6,2022-09-16
19,다세대주택,가화빌라 102동,충청북도 옥천군 옥천읍 가화3길 15 ,옥천읍,1,3,6,2022-09-16
20,다세대주택,가화빌라 101동,충청북도 옥천군 옥천읍 가화3길 15 ,옥천읍,1,3,6,2022-09-16
21,다세대주택,가화빌라 107동,충청북도 옥천군 옥천읍 가화3길 15 ,옥천읍,1,3,3,2022-09-16
22,다세대주택,마성주택,충청북도 옥천군 옥천읍 가화1길 29 ,옥천읍,1,3,6,2022-09-16
23,다세대주택,미림다세대주택,충청북도 옥천군 옥천읍 가화1길 1-6 ,옥천읍,1,3,6,2022-09-16
24,아파트,그린아파트,충청북도 옥천군 옥천읍 장야1길 10 ,옥천읍,1,14,90,2022-09-16
25,연립주택,보영빌라,충청북도 옥천군 옥천읍 문장로 98-33 ,옥천읍,1,3,12,2022-09-16
26,다세대주택,금구다세대주택,충청북도 옥천군 옥천읍 관성로2길 10-8 ,옥천읍,1,2,3,2022-09-16
27,다세대주택,세림주택 가동,충청북도 옥천군 옥천읍 대학1길 18 ,옥천읍,1,4,7,2022-09-16
28,다세대주택,세림주택 나동,충청북도 옥천군 옥천읍 대학1길 18 ,옥천읍,1,4,8,2022-09-16
29,다세대주택,가화빌라 105동,충청북도 옥천군 옥천읍 가화3길 15 ,옥천읍,1,3,6,2022-09-16
30,다세대주택,가화빌라 106동,충청북도 옥천군 옥천읍 가화3길 15 ,옥천읍,1,3,6,2022-09-16
31,다세대주택,현대주택,충청북도 옥천군 옥천읍 가화1길 19 ,옥천읍,1,3,5,2022-09-16
32,다세대주택,필성빌리지,충청북도 옥천군 옥천읍 성신로 29-4 ,옥천읍,1,3,3,2022-09-16
33,다세대주택,필성주택,충청북도 옥천군 옥천읍 성신로 16 ,옥천읍,1,3,6,2022-09-16
34,다세대주택,"필성빌라 1, 2동",충청북도 옥천군 옥천읍 마장로 18 ,옥천읍,2,3,12,2022-09-16
35,다세대주택,필성빌라 ,충청북도 옥천군 옥천읍 마장로 18 ,옥천읍,1,3,6,2022-09-16
36,다세대주택,필성빌라 나동,충청북도 옥천군 옥천읍 마장로 18 ,옥천읍,1,3,6,2022-09-16
37,다세대주택,필성빌라,충청북도 옥천군 옥천읍 마장로 18 ,옥천읍,1,3,6,2022-09-16
38,다세대주택,필성빌라,충청북도 옥천군 옥천읍 마장로 18 ,옥천읍,1,3,6,2022-09-16
39,다세대주택,다세대주택(필성빌라),충청북도 옥천군 옥천읍 성암2길 40-4 ,옥천읍,1,3,5,2022-09-16
40,다세대주택,가산빌라 A동,충청북도 옥천군 옥천읍 향수길 10 ,옥천읍,1,3,6,2022-09-16
41,다세대주택,가산빌라 B동,충청북도 옥천군 옥천읍 향수길 10 ,옥천읍,1,3,6,2022-09-16
42,다세대주택,관성빌라,충청북도 옥천군 옥천읍 문장로3길 14 ,옥천읍,1,3,5,2022-09-16
43,다세대주택,청운주택,충청북도 옥천군 청산면 지전1길 42 ,청산면,1,3,6,2022-09-16
44,아파트,고려아파트,충청북도 옥천군 옥천읍 양수로 58 ,옥천읍,1,5,55,2022-09-16
45,아파트,세림아파트,충청북도 옥천군 옥천읍 관성로1길 26-3 ,옥천읍,1,5,19,2022-09-16
46,연립주택,보영주택,충청북도 옥천군 옥천읍 중앙로4길 19 ,옥천읍,1,4,17,2022-09-16
47,다세대주택,승진빌라,충청북도 옥천군 옥천읍 신기3길 31-9 ,옥천읍,1,4,8,2022-09-16
48,다세대주택,삼우빌라,충청북도 옥천군 옥천읍 중앙로9길 25 ,옥천읍,1,4,8,2022-09-16
49,다세대주택,삼우주택 라동,충청북도 옥천군 옥천읍 성신로 74-1 ,옥천읍,1,4,8,2022-09-16
50,다세대주택,삼우주택 다동,충청북도 옥천군 옥천읍 성신로 74-1 ,옥천읍,1,4,8,2022-09-16
51,다세대주택,비원빌라,충청북도 옥천군 옥천읍 가화2길 6-14 ,옥천읍,1,3,9,2022-09-16
52,다세대주택,동원빌라 나동,충청북도 옥천군 옥천읍 성암3길 12-34 ,옥천읍,1,3,12,2022-09-16
53,다세대주택,동원빌라 가동,충청북도 옥천군 옥천읍 성암3길 12-34 ,옥천읍,1,3,12,2022-09-16
